Domain,IP,App,Service
img.megatvdnp.co.kr,222.122.121.30,키즈랜드,메뉴 리스트
contents.megatvdnp.co.kr,222.122.121.40,키즈랜드,메뉴 리스트
menu.megatvdnp.co.kr,222.122.121.70,키즈랜드,메뉴 리스트
service.game-mode.net,54.178.228.160,키즈랜드,메뉴 리스트
alphyn.canonical.com,91.189.91.157,키즈랜드,메뉴 리스트
121.156.46.100,121.156.46.100,키즈랜드,비디오
121.156.46.103,121.156.46.103,키즈랜드,비디오
121.156.46.105,121.156.46.105,키즈랜드,비디오
121.156.46.106,121.156.46.106,키즈랜드,비디오
121.156.46.112,121.156.46.112,키즈랜드,비디오
121.156.46.124,121.156.46.124,키즈랜드,비디오
121.156.46.71,121.156.46.71,키즈랜드,비디오
121.156.46.72,121.156.46.72,키즈랜드,비디오
121.156.46.75,121.156.46.75,키즈랜드,비디오
121.156.46.76,121.156.46.76,키즈랜드,비디오
121.156.46.78,121.156.46.78,키즈랜드,비디오
121.156.46.79,121.156.46.79,키즈랜드,비디오
121.156.46.98,121.156.46.98,키즈랜드,비디오
218.145.38.48,218.145.38.48,키즈랜드,비디오
218.145.38.5,218.145.38.5,키즈랜드,비디오
drmipsusb.megatvdnp.co.kr,222.122.121.88,키즈랜드,비디오
222.122.207.175,222.122.207.175,키즈랜드,비디오
freesam.kt.com,14.32.69.19,키즈랜드,앱시작
omas.megatvdnp.co.kr,175.207.88.32,키즈랜드,앱시작
amsweb.megatvdnp.co.kr,222.122.121.128,키즈랜드,앱시작
img.megatvdnp.co.kr,222.122.121.30,키즈랜드,앱시작
contents.megatvdnp.co.kr,222.122.121.40,키즈랜드,앱시작
menu.megatvdnp.co.kr,222.122.121.70,키즈랜드,앱시작
,,,
